Post_ID,Dominant_Topic,Topic_Proportion,Topics
56918286,2,0.481560,2(0.481560) 9(0.324746) 6(0.187688) 4(0.001677) 1(0.001618) 7(0.001197) 0(0.000564) 3(0.000373) 5(0.000298) 8(0.000281)
56927197,1,0.610201,1(0.610201) 8(0.386652) 5(0.001491) 9(0.000742) 3(0.000403) 0(0.000162) 4(0.000113) 2(0.000102) 6(0.000072) 7(0.000064)
56937872,3,0.634263,3(0.634263) 8(0.251260) 6(0.111783) 2(0.000841) 1(0.000582) 5(0.000335) 7(0.000285) 4(0.000264) 0(0.000206) 9(0.000182)
56947312,6,0.542415,6(0.542415) 2(0.413623) 9(0.026225) 1(0.007106) 5(0.002771) 0(0.002638) 8(0.002364) 3(0.001909) 4(0.000654) 7(0.000295)
56958539,7,0.995642,7(0.995642) 8(0.001604) 6(0.000688) 2(0.000615) 3(0.000407) 1(0.000385) 0(0.000236) 5(0.000233) 4(0.000116) 9(0.000074)
56980589,6,0.597369,6(0.597369) 2(0.401354) 4(0.000342) 9(0.000327) 5(0.000314) 7(0.000115) 0(0.000075) 1(0.000058) 8(0.000034) 3(0.000013)
56998702,7,0.551018,7(0.551018) 2(0.289974) 9(0.153223) 4(0.002676) 6(0.000805) 8(0.000604) 1(0.000550) 3(0.000468) 5(0.000382) 0(0.000299)
57004311,4,0.451517,4(0.451517) 8(0.305476) 0(0.147825) 3(0.090564) 9(0.002051) 2(0.000829) 1(0.000711) 7(0.000700) 5(0.000310) 6(0.000017)
57008251,8,0.473817,8(0.473817) 1(0.259727) 4(0.179148) 0(0.083716) 7(0.001629) 9(0.001457) 5(0.000266) 3(0.000124) 2(0.000091) 6(0.000024)
57008629,3,0.781224,3(0.781224) 5(0.215612) 1(0.001247) 0(0.000783) 8(0.000665) 9(0.000191) 6(0.000118) 4(0.000076) 2(0.000059) 7(0.000024)
57010544,2,0.498682,2(0.498682) 6(0.366278) 9(0.132488) 3(0.000633) 1(0.000515) 7(0.000488) 4(0.000363) 5(0.000233) 0(0.000160) 8(0.000159)
57024787,3,0.336694,3(0.336694) 4(0.298114) 1(0.187121) 8(0.170371) 0(0.004081) 7(0.002350) 9(0.000426) 5(0.000362) 2(0.000346) 6(0.000135)
57029093,0,0.565621,0(0.565621) 2(0.424390) 8(0.005692) 7(0.001759) 3(0.000824) 1(0.000601) 6(0.000516) 9(0.000267) 4(0.000193) 5(0.000138)
57031248,5,0.370712,5(0.370712) 2(0.291378) 1(0.279681) 6(0.026758) 9(0.023462) 0(0.005799) 8(0.001180) 3(0.000536) 4(0.000379) 7(0.000114)
57054916,1,0.447507,1(0.447507) 8(0.293868) 6(0.136216) 4(0.064084) 0(0.053195) 2(0.002133) 5(0.001262) 3(0.001069) 7(0.000447) 9(0.000220)
57075533,4,0.479081,4(0.479081) 8(0.166374) 5(0.110924) 0(0.085756) 1(0.081396) 6(0.041449) 2(0.033900) 7(0.000452) 9(0.000408) 3(0.000259)
57100026,1,0.377790,1(0.377790) 0(0.305714) 3(0.300229) 7(0.013991) 8(0.000849) 9(0.000475) 5(0.000461) 2(0.000236) 6(0.000206) 4(0.000051)
57105699,4,0.570767,4(0.570767) 7(0.406027) 9(0.021445) 2(0.000988) 6(0.000273) 0(0.000184) 1(0.000122) 5(0.000081) 3(0.000080) 8(0.000033)
57114142,4,0.491444,4(0.491444) 7(0.165488) 1(0.150122) 0(0.091880) 5(0.057477) 3(0.041937) 8(0.000793) 2(0.000396) 6(0.000247) 9(0.000216)
57127878,8,0.585019,8(0.585019) 0(0.412339) 1(0.002018) 5(0.000210) 7(0.000093) 3(0.000092) 6(0.000091) 9(0.000058) 2(0.000051) 4(0.000030)
57128132,1,0.511943,1(0.511943) 8(0.361467) 9(0.125417) 0(0.000394) 5(0.000277) 3(0.000216) 4(0.000095) 2(0.000079) 7(0.000076) 6(0.000035)
57133806,1,0.391252,1(0.391252) 4(0.331341) 9(0.274295) 0(0.000729) 5(0.000632) 8(0.000571) 3(0.000459) 6(0.000321) 2(0.000223) 7(0.000179)
57140530,0,0.690996,0(0.690996) 8(0.238264) 1(0.037139) 7(0.032183) 3(0.000428) 2(0.000274) 6(0.000251) 5(0.000205) 9(0.000198) 4(0.000062)
57152031,4,0.407694,4(0.407694) 7(0.188485) 3(0.182631) 0(0.077267) 6(0.076044) 9(0.066150) 2(0.000697) 5(0.000458) 1(0.000382) 8(0.000191)
57153221,2,0.618170,2(0.618170) 6(0.357047) 9(0.020445) 7(0.002684) 4(0.000452) 1(0.000431) 3(0.000268) 0(0.000237) 8(0.000162) 5(0.000105)
57153729,9,0.628655,9(0.628655) 5(0.309720) 6(0.058556) 3(0.001028) 8(0.000759) 1(0.000607) 0(0.000238) 4(0.000199) 7(0.000177) 2(0.000061)
57160790,0,0.470743,0(0.470743) 8(0.422692) 9(0.087752) 4(0.016886) 1(0.000846) 6(0.000427) 3(0.000277) 7(0.000128) 5(0.000126) 2(0.000123)
57168609,3,0.326328,3(0.326328) 5(0.281128) 4(0.116870) 9(0.105854) 1(0.052993) 6(0.052604) 7(0.043487) 2(0.019276) 8(0.000891) 0(0.000571)
57168931,9,0.669376,9(0.669376) 4(0.257551) 8(0.067052) 6(0.001770) 2(0.001406) 3(0.001189) 7(0.000583) 5(0.000497) 1(0.000291) 0(0.000286)
57193075,5,0.640009,5(0.640009) 9(0.305275) 4(0.049126) 1(0.001600) 3(0.001473) 8(0.001190) 0(0.000767) 6(0.000420) 7(0.000096) 2(0.000046)
57199922,1,0.635650,1(0.635650) 4(0.329044) 8(0.011462) 3(0.008457) 7(0.007525) 0(0.003541) 2(0.002783) 6(0.000628) 5(0.000505) 9(0.000405)
57215274,2,0.542334,2(0.542334) 8(0.261358) 4(0.162298) 1(0.030988) 0(0.001029) 7(0.000907) 3(0.000447) 5(0.000255) 6(0.000204) 9(0.000180)
57222005,1,0.487465,1(0.487465) 2(0.266249) 5(0.141635) 7(0.099730) 4(0.003107) 8(0.000545) 6(0.000469) 3(0.000373) 0(0.000324) 9(0.000103)
57234380,4,0.461227,4(0.461227) 8(0.358752) 9(0.127883) 5(0.049557) 3(0.001130) 7(0.000555) 1(0.000305) 0(0.000263) 2(0.000188) 6(0.000140)
57236625,0,0.653849,0(0.653849) 9(0.135639) 1(0.128679) 4(0.079438) 5(0.000609) 6(0.000601) 8(0.000471) 3(0.000408) 2(0.000201) 7(0.000104)
57270850,9,0.335539,9(0.335539) 5(0.314487) 2(0.179866) 6(0.167584) 1(0.001300) 3(0.000350) 4(0.000324) 7(0.000250) 8(0.000171) 0(0.000129)
57275156,9,0.359539,9(0.359539) 6(0.204638) 4(0.156040) 1(0.110006) 7(0.094006) 0(0.045156) 2(0.030222) 3(0.000215) 5(0.000090) 8(0.000088)
57289150,1,0.556866,1(0.556866) 8(0.437631) 0(0.003782) 5(0.000740) 2(0.000223) 3(0.000207) 9(0.000184) 6(0.000153) 7(0.000108) 4(0.000106)
57289462,1,0.437967,1(0.437967) 0(0.363853) 8(0.100390) 9(0.096470) 3(0.000396) 5(0.000272) 7(0.000182) 2(0.000179) 4(0.000178) 6(0.000112)
57300961,8,0.372108,8(0.372108) 9(0.248953) 1(0.205631) 3(0.171903) 5(0.000436) 0(0.000371) 7(0.000219) 4(0.000175) 2(0.000150) 6(0.000053)
57302033,3,0.480719,3(0.480719) 0(0.234566) 8(0.213053) 2(0.069084) 7(0.001367) 1(0.000530) 5(0.000227) 4(0.000179) 9(0.000148) 6(0.000126)
